PERIOD,YEAR,STATS_VALUE
November,1970,14.4
December,1970,16.7
January,1971,17.4
February,1971,18
March,1971,16.3
April,1971,12.9
May,1971,10.5
June,1971,7.9
July,1971,6
August,1971,8.3
September,1971,10.2
October,1971,12.4
November,1971,13.9
December,1971,16.9
January,1972,16
February,1972,15.6
March,1972,16.9
April,1972,13.1
May,1972,8.6
June,1972,5.2
July,1972,6.5
August,1972,6.2
September,1972,11.6
October,1972,12.6
November,1972,15.6
December,1972,14.5
January,1973,17.1
February,1973,18.3
March,1973,16
April,1973,12.7
May,1973,9.6
June,1973,7
July,1973,6
August,1973,7.2
September,1973,10.7
October,1973,12.8
November,1973,15.1
December,1973,16.1
January,1974,16
February,1974,18
March,1974,14.1
April,1974,12.3
May,1974,9.1
June,1974,6.8
July,1974,7.2
August,1974,6.7
September,1974,10.3
October,1974,11.4
November,1974,14.6
December,1974,17.2
January,1975,18.6
February,1975,17
March,1975,16.5
April,1975,13.8
May,1975,9.9
June,1975,6.3
July,1975,5.6
August,1975,8.1
September,1975,10.4
October,1975,11.8
November,1975,13.1
December,1975,14.9
January,1976,15.9
February,1976,14
March,1976,15.7
April,1976,12.3
May,1976,9
June,1976,6
July,1976,5.9
August,1976,7.2
September,1976,8.6
October,1976,10
November,1976,11.5
December,1976,15.3
January,1977,15.4
February,1977,16.6
March,1977,14.9
April,1977,12.1
May,1977,7.9
June,1977,6.4
July,1977,6.5
August,1977,7.3
September,1977,7.4
October,1977,11.6
November,1977,13.3
December,1977,15.3
January,1978,17.7
February,1978,18.1
March,1978,16.7
April,1978,15.1
May,1978,9.9
June,1978,5.6
July,1978,7.1
August,1978,8.5
September,1978,9.8
October,1978,11.8
November,1978,14.3
December,1978,15.9
January,1979,18
February,1979,17.5
March,1979,15
April,1979,12.4
May,1979,8.8
June,1979,7.2
July,1979,7
August,1979,6.6
September,1979,10.5
October,1979,11.8
November,1979,14.8
December,1979,16.7
January,1980,17.2
February,1980,16.4
March,1980,14.4
April,1980,12.5
May,1980,9.7
June,1980,6.2
July,1980,6.2
August,1980,7.8
October,1980,14.2
November,1980,13
December,1980,15.9
January,1981,17.9
February,1981,17.7
March,1981,16.1
April,1981,14.2
May,1981,9.1
June,1981,8
July,1981,6.7
August,1981,6.1
September,1981,9.8
October,1981,12.4
November,1981,14.4
December,1981,17.7
January,1982,17.8
February,1982,18
March,1982,16.2
April,1982,10.9
May,1982,9.7
June,1982,6.4
July,1982,5.7
August,1982,8.1
September,1982,9.1
October,1982,10.9
November,1982,16.1
December,1982,14.6
January,1983,16.3
February,1983,15.5
March,1983,15.5
April,1983,12.4
May,1983,9.2
June,1983,6.6
July,1983,5.8
August,1983,7.8
September,1983,9.7
October,1983,12.1
November,1983,14.1
December,1983,15.4
January,1984,15.4
February,1984,16.5
March,1984,16.5
April,1984,13.2
June,1984,7.7
July,1984,7.5
August,1984,9.5
September,1984,10.4
October,1984,12.5
November,1984,15.7
December,1984,16.8
January,1985,19.4
February,1985,17.4
March,1985,15.1
April,1985,13.9
